Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
Crocodylus porosus,FR,SG,ID,2,3,skins,,T,C
Crocodylus porosus,FR,SG,ID,286,426,skins,,T,R
Crocodylus porosus,FR,SG,ID,140,,skins,,T,W
Crocodylus porosus,FR,SG,ID,64,75,skin pieces,,T,C
Crocodylus porosus,FR,SG,ID,30,,tails,,T,C
Crocodylus porosus,FR,SG,PG,,92,bodies,,T,W
Crocodylus porosus,FR,SG,PG,2,3,leather products (small),,T,C
Crocodylus porosus,FR,SG,PG,53,64,skins,,T,W
Crocodylus porosus,FR,SG,PG,214,248,skin pieces,,T,W
Crocodylus porosus,FR,SG,PG,58,,tails,,T,W
Crocodylus porosus,FR,TH,AU,1,,leather products (small),,T,C
Crocodylus porosus,FR,TR,ID,64,64,skins,,T,C
Crocodylus porosus,FR,TW,AU,1,,leather products (small),,T,C
Crocodylus porosus,FR,TW,AU,1,,leather products (small),,T,R
Crocodylus porosus,FR,TW,PG,1,,leather products (small),,T,W
Crocodylus porosus,FR,US,AU,1,1,garments,,T,C
Crocodylus porosus,FR,US,AU,,1,jewellery,,T,W
Crocodylus porosus,FR,US,AU,,1,leather products (large),,T,C
Crocodylus porosus,FR,US,AU,,1,leather products (large),,T,R
Crocodylus porosus,FR,US,AU,2,2,leather products (small),,T,C
Crocodylus porosus,FR,US,AU,3.5,4,leather products (small),,T,R
Crocodylus porosus,FR,US,AU,1,,leather products (small),,T,W
Crocodylus porosus,FR,US,PG,,1,leather products (large),,T,C
Crocodylus porosus,FR,US,PG,2,1,leather products (small),,T,C
Crocodylus porosus,FR,ZA,AU,2,,leather products (small),,T,C
Crocodylus porosus,GB,AE,AU,,2,leather products (small),,P,C
Crocodylus porosus,GB,AE,PH,,1,leather products (small),,P,D
Crocodylus porosus,GB,AE,TH,,1,leather products (small),,P,D
Crocodylus porosus,GB,AU,AU,466,,leather products (small),,T,R
Crocodylus porosus,GB,AU,PG,24,,leather products (small),,T,C
Crocodylus porosus,GB,AU,,1,,leather products (small),,T,W
Crocodylus porosus,GB,CH,AU,13,,leather products (small),,T,C
Crocodylus porosus,GB,CH,PG,2,,leather products (small),,T,W
Crocodylus porosus,GB,CN,AU,1,,leather products (small),,T,C
Crocodylus porosus,GB,CN,AU,62,,leather products (small),,T,R
Crocodylus porosus,GB,FR,AU,,1,leather products (small),,T,C
Crocodylus porosus,GB,FR,AU,,2,leather products (small),,T,R
Crocodylus porosus,GB,HK,AU,,1,leather products (small),,T,R
Crocodylus porosus,GB,JP,AU,2,2,leather products (small),,T,C
Crocodylus porosus,GB,JP,AU,5,5,leather products (small),,T,R
Crocodylus porosus,GB,MC,AU,,1,leather products (small),,P,C
Crocodylus porosus,GB,SG,AU,,2,leather products (large),,T,C
Crocodylus porosus,GB,SG,AU,,2,leather products (large),,T,R
Crocodylus porosus,GB,SG,AU,5,14,leather products (small),,T,C
Crocodylus porosus,GB,SG,AU,2,1,leather products (small),,T,R
Crocodylus porosus,GB,SG,ID,3,16,leather products (small),,T,C
Crocodylus porosus,GR,CH,AU,1,,leather products (small),,,C
Crocodylus porosus,GU,SG,AU,,2,leather products (small),,T,C
Crocodylus porosus,HK,AU,XX,110,,leather products (small),,T,C
Crocodylus porosus,HK,AU,,100,,oil,l,T,R
Crocodylus porosus,HK,AU,,10,,skins,,T,C
Crocodylus porosus,HK,BE,AU,3,,leather products (small),,T,R
Crocodylus porosus,HK,BE,AU,,3,leather products (small),,,
Crocodylus porosus,HK,BE,PG,2,,leather products (small),,T,C
